NAME                                               READY   STATUS      RESTARTS   AGE   IP              NODE                NOMINATED NODE   READINESS GATES
collectd-server-pod                                2/2     Running     2          19h   172.16.83.37    zc404smlc01kwo002   <none>           <none>
dash-redis-node-0                                  2/2     Running     6          19h   172.16.83.32    zc404smlc01kwo002   <none>           <none>
dash-redis-node-1                                  2/2     Running     2          19h   172.16.46.69    zc404smlc01kwo001   <none>           <none>
dash-redis-node-2                                  2/2     Running     7          19h   172.16.83.23    zc404smlc01kwo002   <none>           <none>
dlp-redis-fserv-node-0                             2/2     Running     6          19h   172.16.83.63    zc404smlc01kwo002   <none>           <none>
dlp-redis-fserv-node-1                             2/2     Running     8          19h   172.16.83.52    zc404smlc01kwo002   <none>           <none>
dlp-redis-fserv-node-2                             2/2     Running     7          19h   172.16.83.58    zc404smlc01kwo002   <none>           <none>
dlp-redis-node-0                                   2/2     Running     0          19h   172.16.46.67    zc404smlc01kwo001   <none>           <none>
dlp-redis-node-1                                   2/2     Running     7          19h   172.16.83.26    zc404smlc01kwo002   <none>           <none>
dlp-redis-node-2                                   2/2     Running     0          19h   172.16.46.74    zc404smlc01kwo001   <none>           <none>
fservice-pod                                       2/2     Running     0          19h   172.16.46.76    zc404smlc01kwo001   <none>           <none>
gmlc-cli                                           1/1     Running     0          17h   172.16.46.127   zc404smlc01kwo001   <none>           <none>
healthcheck-pod                                    1/1     Running     1          19h   172.16.83.62    zc404smlc01kwo002   <none>           <none>
kafka-0                                            1/1     Running     7          19h   172.16.46.66    zc404smlc01kwo001   <none>           <none>
kafka-1                                            1/1     Running     8          19h   172.16.46.65    zc404smlc01kwo001   <none>           <none>
kafka-2                                            1/1     Running     9          19h   172.16.83.25    zc404smlc01kwo002   <none>           <none>
kafka-zookeeper-0                                  1/1     Running     1          19h   172.16.83.19    zc404smlc01kwo002   <none>           <none>
ldap-59c8c86bcb-b2tr7                              1/1     Running     0          42m   172.16.46.85    zc404smlc01kwo001   <none>           <none>
pos-cli                                            1/1     Running     0          17h   172.16.46.104   zc404smlc01kwo001   <none>           <none>
postgresql-postgresql-ha-pgpool-655989b68d-6xfmm   1/1     Running     5          19h   172.16.46.71    zc404smlc01kwo001   <none>           <none>
postgresql-postgresql-ha-pgpool-655989b68d-jfj72   1/1     Running     5          19h   172.16.83.41    zc404smlc01kwo002   <none>           <none>
postgresql-postgresql-ha-postgresql-0              1/1     Running     1          19h   172.16.83.20    zc404smlc01kwo002   <none>           <none>
postgresql-postgresql-ha-postgresql-1              1/1     Running     1          19h   172.16.46.72    zc404smlc01kwo001   <none>           <none>
vmlc-redis-node-0                                  2/2     Running     0          19h   172.16.46.68    zc404smlc01kwo001   <none>           <none>
vmlc-redis-node-1                                  2/2     Running     0          19h   172.16.46.70    zc404smlc01kwo001   <none>           <none>
vmlc-redis-node-2                                  2/2     Running     0          19h   172.16.46.73    zc404smlc01kwo001   <none>           <none>
